Player hand,Dealer's face-up card,,,,,,,,,
,2,3,4,5,6,7,8,9,10,A
Hard totals (excluding pairs),,,,,,,,,,
18–21,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,Us
16,S,S,S,S,S,H,H,Uh,Uh,Uh
15,S,S,S,S,S,H,H,H,Uh,Uh
13–14,S,S,S,S,S,H,H,H,H,H
12,H,H,S,S,S,H,H,H,H,H
11,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh
10,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
9,H,Dh,Dh,Dh,Dh,H,H,H,H,H
5–8,H,H,H,H,H,H,H,H,H,H
Soft totals,,,,,,,,,,
,2,3,4,5,6,7,8,9,10,A
"A,9",S,S,S,S,S,S,S,S,S,S
"A,8",S,S,S,S,Ds,S,S,S,S,S
"A,7",Ds,Ds,Ds,Ds,Ds,S,S,H,H,H
"A,6",H,Dh,Dh,Dh,Dh,H,H,H,H,H
"A,4–A,5",H,H,Dh,Dh,Dh,H,H,H,H,H
"A,2–A,3",H,H,H,Dh,Dh,H,H,H,H,H
Pairs,,,,,,,,,,
,2,3,4,5,6,7,8,9,10,A
"A, A",SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
"10,10",S,S,S,S,S,S,S,S,S,S
"9,9",SP,SP,SP,SP,SP,S,SP,SP,S,S
"8,8",SP,SP,SP,SP,SP,SP,SP,SP,SP,Usp
"7,7",SP,SP,SP,SP,SP,SP,H,H,H,H
"6,6",SP,SP,SP,SP,SP,H,H,H,H,H
"5,5",Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
"4,4",H,H,H,SP,SP,H,H,H,H,H
"2,2–3,3",SP,SP,SP,SP,SP,SP,H,H,H,H
