,2,3,4,5,6,7,8,9,10,A
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,U
16,S,S,S,S,S,H,H,U,U,U
15,S,S,S,S,S,H,H,H,U,U
14,S,S,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
12,H,H,S,S,S,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,D
10,D,D,D,D,D,D,D,D,H,H
9,H,D,D,D,D,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
A;9,S,S,S,S,S,S,S,S,S,S
A;8,S,S,S,S,D,S,S,S,S,S
A;7,D,D,D,D,D,S,S,H,H,H
A;6,H,D,D,D,D,H,H,H,H,H
A;5,H,H,D,D,D,H,H,H,H,H
A;4,H,H,D,D,D,H,H,H,H,H
A;3,H,H,H,D,D,H,H,H,H,H
A;2,H,H,H,D,D,H,H,H,H,H
A;A,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
10;10,S,S,S,S,S,S,S,S,S,S
9;9,SP,SP,SP,SP,SP,S,SP,SP,S,S
8;8,SP,SP,SP,SP,SP,SP,SP,SP,SP,Usp
7;7,SP,SP,SP,SP,SP,SP,H,H,H,H
6;6,SP,SP,SP,SP,SP,H,H,H,H,H
5;5,D,D,D,D,D,D,D,D,H,H
4;4,H,H,H,SP,SP,H,H,H,H,H
3;3,SP,SP,SP,SP,SP,SP,H,H,H,H
2;2,SP,SP,SP,SP,SP,SP,H,H,H,H
